UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,HasPicture,BiasFree,RestaurantID
08**,"SET5（불떡볶이＋순살불닭＋주먹밥）/1(기본 서비스(주먹밥＋단무지),떡볶이 맛 선택(1단계 신라면 정도),맛 선택(무뼈닭발 1단계 신라면이상),서비스 선택(쿨피스（450ml）))",떡볶이도 양도 많고 맛있습니다 포장도 깔끔하게 해주셔서 너무 좋았습니다 근데 순살 불닭 5000원인데 양이 좀 적다고 느껴지네요.. 그래도 맛은 좋습니다 불맛 지대로네요 다음엔 좀 더 매운맛으로 시켜야겠습니다ㅎㅎ,5,5.0,5.0,5.0,2023-04-22 21:41:44,1,0,81720
an**,"SET3（무뼈닭발＋주먹밥）/1(기본 서비스(주먹밥＋단무지),떡볶이 맛 선택(1단계 신라면 정도),맛 선택(무뼈닭발 2단계 청양고추),서비스 선택(스프라이트（500ml）로 변경))",맛있어요. 담에 도 매운맛으로 주문할게요.,5,5.0,5.0,5.0,2023-02-07 15:00:56,1,0,81720
du**,"SET3（무뼈닭발＋주먹밥）/1(기본 서비스(주먹밥＋단무지),떡볶이 맛 선택(1단계 신라면 정도),맛 선택(무뼈닭발 1단계 신라면이상),서비스 선택(쿨피스（450ml）))",맛있게 잘먹었습니다. 감사합니다~!,5,5.0,5.0,5.0,2023-01-18 01:19:22,0,1,81720
wk**,"SET3（불떡볶이＋무뼈닭발＋주먹밥）/1(기본 서비스(단무지),떡볶이 맛 선택(1단계 신라면 정도),맛 선택(무뼈닭발 1단계 신라면이상),서비스 선택(쿨피스（450ml）))",닭발맛있네요 떡볶이는청양으로시켜야겠어요,5,4.0,4.0,5.0,2022-11-24 21:37:02,1,1,81720
k3**,얼큰국물떡볶이 SET1（얼큰국물떡볶이＋주먹밥＋계란찜）/1(매운맛 조절(1단계)),안 매운맛으로 시켜서 8살 딸래미도 넘나 잘먹고 좋아해요 맛있어요. 특히 주먹밥 뭐 특별한거 들어간 것도 없는거 같은 평범한 주먹밥인데 입에 넣자마자 너무 맛있어서 깜짝 놀랐어요!,5,5.0,5.0,5.0,2022-09-14 19:04:43,0,1,81720
ar**,SET3（불떡볶이＋무뼈닭발＋주먹밥）/1(매운맛 조절(2단계)),맛잇어영ㅇㅇ,5,5.0,5.0,5.0,2022-07-30 06:55:23,0,1,81720
me**,"얼큰국물떡볶이/1(매운맛 조절(1단계)),치즈추가/1",맛있게 잘 먹었습니당,5,5.0,5.0,5.0,2022-05-19 02:41:00,0,1,81720
ye**,"SET3（불떡볶이＋무뼈닭발＋주먹밥）/1(매운맛 조절(1단계)),쿨피스 930mL/1",맛있었습니다! 양 많아요! 세트에 쿨피스도 포함인데 없는줄알고 쿨피스 또시킨사람 나야나 ㅋㅋㅋㅋㅋ 잘먹었습니다~,5,5.0,5.0,5.0,2022-05-17 15:53:04,1,0,81720
wj**,"SET6（불떡볶이＋오돌뼈＋주먹밥）/1(매운맛 조절(2단계)),쿨피스 930mL/1",양이  생각보다 너무 많아서 너무 잘먹었어요 매지 않아 아쉽네요,5,5.0,5.0,5.0,2022-05-12 13:45:48,1,0,81720
jh**,불떡볶이 SET1（불떡볶이＋주먹밥＋계란찜）/1(매운맛 조절(1단계)),처음 주문 했는데도 배달도 빠르고 양도 많고 너무 맛있었어요~,5,5.0,5.0,5.0,2022-01-23 15:06:57,0,1,81720
