UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,HasPicture,BiasFree,RestaurantID
lo**,명란비빔쫄면/3,"명란쫄면 다시 생겨서 주문완료 
맛잇게 잘먹었습니다   👍 👍 👍",5,5,5,5,2023-05-20 12:11:15,0,1,516878
co**,"버섯불고기김밥/1,참치고다치즈김밥/1,매콤제육김밥/1,무말랭이김밥/1",그레이티스트 오브 김밥,5,4,4,5,2023-05-19 17:39:18,1,1,516878
or**,"NEW））에그쉬림프김밥/1,NEW））채소밭쫄면/1,NEW））바삭통등심돈가스/1",맛있어요 추천합니다,5,5,5,5,2023-05-14 11:52:52,1,0,516878
sh**,"꼬마김밥/2,치즈김밥/1,NEW））리김밥/1",항상 맛있게 잘먹고 있어요. 김밥은 늘 리김밥~,5,5,5,5,2023-05-13 17:46:41,0,1,516878
pm**,"불고기치즈김밥/1,NEW））리김밥/1(토핑 추가선택(체다치즈 추가)),매콤제육김밥/1","포장도 맛도 깔끔해서
항상 맛나게 먹고있어요!~~~~^^",5,5,5,5,2023-05-13 11:48:23,1,0,516878
sm**,"치즈김밥/1(토핑 추가선택(체다치즈 추가)),1人（쫄면）세트 1人/1",맛있게 잘먹었습니다,5,5,5,5,2023-05-11 12:48:55,1,0,516878
or**,"NEW））에그쉬림프김밥/1,NEW））채소밭쫄면/1,NEW））바삭통등심돈가스/1",너무 맛있어요 추천합니다,5,5,5,5,2023-05-09 01:08:48,1,0,516878
co**,"국물떡볶이/1,리우동/1,NEW））소불고기 덮밥/1,NEW））몽글오므라이스/1",정갈하고 맛있어요 떡볶이는좀 매워요 우동 예술이네요,5,5,5,5,2023-05-07 16:51:53,1,0,516878
sm**,"NEW））에그돈가츠김밥/1,1人（쫄면）세트 1人/1",맛있게 잘먹었습니다!!! 양많고 야채 신선해서 좋아요,5,5,5,5,2023-05-05 15:23:37,1,0,516878
si**,"치즈듬뿍김치김밥/1,매콤견과류김밥/1,NEW））리김밥/1,매콤제육김밥/1","요청사항 잘 들어주시고 맛도 있고
김밥은 쭉 리김밥 주문해요~~매콤견과김밥에 빠졌어요 ㅎㅎ 애들도 신랑도 다 맛있데요
또 주문할께요~^^",5,5,5,4,2023-04-30 14:37:39,1,1,516878
ha**,가성비 세트 2~3人/1(음료 선택(사이다)),김밥 떡볶이 모두 맛있게 잘 먹었습니다 익스프레스는 한집만 배달하는건줄 알았는데 묶음배달을 하더라구요 저희집이 마지막이라 음식이 좀 많이식어서 왔더라구요 요기요의 시스템적인 문제이니 어쩔수 없지만 좀 아쉽더라구요...,5,5,5,5,2023-04-26 10:40:42,0,1,516878
sn**,"NEW））에그쉬림프김밥/1,참치김밥/1,NEW））리김밥/1",맛있게잘먹었습니다,5,5,5,5,2023-04-18 19:14:37,1,0,516878
km**,"참치김밥/1,국물떡볶이/1(토핑 추가선택(오뎅 추가)),찰순대/1",분식 시켜먹을 때 여기서 시켜먹습니다.김밥 너무 맛있어요👍🏻,5,5,5,5,2023-04-18 16:20:08,0,1,516878
an**,"참치김밥/1,매콤제육김밥/1,NEW））몽글오므라이스/1",맛있게 먹었습니다,5,5,5,5,2023-04-15 19:31:11,1,0,516878
sr**,"참치김밥/1,눈꽃치즈 국물떡볶이/1,모듬튀김/1",양도 많고 맛있었어요!,5,5,5,5,2023-04-08 13:23:19,1,0,516878
je**,"NEW））에그쉬림프김밥/1,참치김밥/1,1人（쫄면）세트 1人/2,NEW））채소밭쫄면/1,NEW））일본식치킨카레라이스/1","맛있고 다 좋은데,
도착시간에 맞춰서 다른 음식 다 맞춰서 준비해놨는데, 갑자기 배달기사님이 픽업했다더니 도착시간이 확 늘어나서 준비한 다른 음식이 다 식었어요. 이건 요기요에서 개선하셔야 될듯.",5,5,5,4,2023-04-08 12:34:36,0,1,516878
sh**,"치즈김밥/1,NEW））로제치즈오므라이스/1,뽀로로（밀크맛）/1",항상 맛있게 잘먹고 있어요. 그런데 오늘 뽀로로주스를 빼고 안보내주셨어요..ㅜㅜ,5,5,5,3,2023-04-05 18:14:35,1,1,516878
du**,"NEW））에그돈가츠김밥/1,NEW））에그돈가츠김밥/1(토핑 추가선택(청양고추 추가)),참치고다치즈김밥/1,치즈듬뿍제육김밥/1(토핑 추가선택(체다치즈 추가),토핑 추가선택(청양고추 추가)),무말랭이김밥/1,가라아게（4개）/1","맛있네요, 치킨 가라아게 맛있습니다. 가격대비 양이 많지는 않아요",5,5,4,5,2023-04-04 19:03:39,1,1,516878
an**,"NEW））에그돈가츠김밥/1,가라아게（4개）/1,NEW））몽글오므라이스/1",맛있게 먹었습니다,5,5,5,5,2023-04-04 12:33:26,1,0,516878
zz**,"매콤견과류김밥/1,참치치즈김밥/1,（계절메뉴） 냉우동/1",너무 맛있어용!!!!,5,5,5,5,2023-04-01 01:43:01,1,0,516878
ae**,"NEW））에그돈가츠김밥/2,찰순대/1","돈가츠김밥 너무 고소하고 맛있어서
자꾸 주문하게 되네요",5,5,5,5,2023-03-28 17:21:07,1,0,516878
mo**,"매콤견과류김밥/2,참치김밥/2,NEW））리김밥/2,치즈듬뿍제육김밥/2,어묵탕/2",배고픔에 급하게 먹다보니… 오늘도 맛있게 잘먹었습니다.,5,5,5,5,2023-03-25 01:37:22,1,0,516878
si**,"치즈듬뿍김치김밥/1,버섯불고기김밥/1,NEW））리김밥/1,리우동/1","요청도 잘 들어주시고 특히 치즈김치김밥은 울딸들이 너무 좋아해요 ㅎㅎ 
김밥은 이제 여기 정착ㅋ",5,5,5,5,2023-03-18 17:42:24,1,0,516878
si**,"치즈듬뿍김치김밥/1,NEW））리김밥/1(토핑 추가선택(청양고추 추가)),매콤제육김밥/1",야채도 많고 맛있어요,5,5,5,5,2023-03-18 17:40:32,0,1,516878
sn**,"NEW））에그돈가츠김밥/1,참치김밥/1,NEW））리김밥/1",맛있게잘먹었습니다,5,5,5,5,2023-03-18 16:52:12,1,0,516878
or**,"NEW））에그쉬림프김밥/1,참치치즈김밥/1,NEW））제육덮밥/1,NEW））몽글오므라이스/1,NEW））바삭통등심돈가스/1",깨끗하고 맛있어요 추천합니다,5,5,5,5,2023-03-17 19:59:31,1,0,516878
mo**,"매콤견과류김밥/3,어묵탕/2,NEW）） 로제떡볶이/1,찰순대/1,NEW））몽글오므라이스/2",늘 맛있게 먹고 있어요. 수고 하세요.,5,5,5,5,2023-03-17 17:23:15,1,0,516878
jh**,"참치치즈김밥/1,국물떡볶이/1,모듬튀김/1","댓글보고 시켜봤는데
튀김은 다 눅어서 오고ㅜㅜ
떡볶이 맛도 기본이구 그러네요",3,3,3,3,2023-03-13 23:53:48,1,1,516878
sh**,"야채김밥/1,불고기치즈김밥/1,NEW））채소밭쫄면/1",야채도 가득하고 양도 많고 맛있어요,5,5,5,5,2023-03-12 18:56:57,1,0,516878
ok**,"NEW））에그쉬림프김밥/1,국물떡볶이/1,NEW））제육덮밥/1",최고 맛나요 또 먹을게요,5,5,5,5,2023-03-12 13:57:33,0,1,516878
si**,"NEW））에그돈가츠김밥/1,치즈듬뿍김치김밥/1,NEW））리김밥/1",포장이 맘에들어요 근데 김밥이 좀 터지긴했어요 ㅎㅎ그거 빼곤 맛있게 먹었어요,4,4,4,5,2023-03-08 19:08:39,0,1,516878
pa**,"NEW））리김밥/1,1人（쫄면）세트 1人/1,국물떡볶이/1",맛있게 잘 먹었습니다,5,5,5,5,2023-03-06 22:23:12,1,0,516878
je**,"1人（쫄면）세트 1人/1,NEW））소불고기 덮밥/1",깔끔하고 맛있어요 특히 쫄면 굿굿굿,5,5,5,4,2023-03-05 20:45:17,1,1,516878
co**,"야채김밥/1,치즈김밥/1,참치김밥/1,NEW））크래미와사마요김밥/1,국물떡볶이/1,눈꽃치즈 국물떡볶이/1,NEW））채소밭쫄면/1,찰순대/1,NEW））몽글오므라이스/1","김밥, 쫄면, 오므라이스, 떡볶이 다 맛있었습니다~",5,5,5,5,2023-02-26 19:33:07,1,0,516878
mo**,"NEW））에그쉬림프김밥/1,매콤견과류김밥/1,NEW））리김밥/1,모듬튀김/1",맛있는 저녁식사가 되었네요. 수고하세요.,5,5,5,5,2023-02-26 18:14:03,1,0,516878
sn**,"NEW））에그돈가츠김밥/1,NEW））에그쉬림프김밥/1,참치김밥/1(토핑 추가선택(어니언소스)),NEW））크래미와사마요김밥/1,치즈듬뿍제육김밥/1,국물떡볶이/1(토핑 추가선택(꼬마만두 추가（5알）)),NEW））몽글오므라이스/1",아이고 닉이 애연인줄알았는데 권장닉네임이네요... 너무 맛있게 잘먹었습니다 배달도빨랐어요,5,5,5,5,2023-02-24 13:12:15,1,0,516878
gk**,"NEW））에그쉬림프김밥/1,치즈듬뿍제육김밥/1,국물떡볶이/1,찰순대/1",한끼식사 괜찮았습니다 ~  많이 파세요 👍,5,5,5,5,2023-02-23 19:57:47,1,0,516878
k9**,"NEW））리김밥/1,국물떡볶이/1,NEW））몽글오므라이스/1",특유의 리김밥도 맛있고 다 만족해요 💚,5,5,5,5,2023-02-23 17:43:03,1,0,516878
