UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,HasPicture,BiasFree,RestaurantID
7p**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),추가선택(보들계란찜 （기본구성 외 추가）),찜（하트） 별5개 후기 서비스 선택([서비스]새우3마리))",진짜 여긴 완전 대박 ㅜ자주 먹어용 맛있어요,5,5,5,5.0,2023-05-23 01:19:42,0,1,538678
dl**,"[통오징어증정]칼슘 꽃게찜/1(사이즈 선택(소),맛 선택(약간 매운맛（푸라면 맵기）),찜（하트） 별5개 후기 서비스 선택([서비스]알（명란）))",햇존맛탱 햇존맛탱 햇전맛탱 햇핵존맛탱구리 짱짱맨,5,5,5,5.0,2023-05-22 22:18:27,0,1,538678
es**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),찜（하트） 별5개 후기 서비스 선택([서비스]오징어링))",맛있어요~~순살이라 편하고 양이 많아 만족입니다~,5,5,5,5.0,2023-05-22 19:54:07,1,0,538678
ho**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(1인분 [미니계란찜 서비스]),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),찜（하트） 별5개 후기 서비스 선택([서비스]새우3마리))",순살이라 너무 먹기 편했고 양이랑 맛 맵기 모두 만족스러웠어요. 잘 먹었습니다!,5,5,5,5.0,2023-05-22 02:22:46,1,0,538678
gh**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(1인분 [미니계란찜 서비스]),맛 선택(보통맛（일반 찜 맵기）),찜（하트） 별5개 후기 서비스 선택([서비스]사이다 500ml))",잘먹었습니다!! 너무 맛있어요!!,5,5,5,5.0,2023-05-21 20:04:44,1,0,538678
se**,"[통오징어증정]종합영양제 해물찜/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),찜（하트） 별5개 후기 서비스 선택([서비스]곤이（이리）))",양도 많고 진짜 너무 맛있어요... 해물찜 맛있는곳이 은근 찾기 힘들던데 여기 정착하려구요 잘먹었습니다~~,5,5,5,5.0,2023-05-21 19:30:36,1,0,538678
do**,"[통오징어증정]콜라겐 아귀찜（뼈있음）/1(사이즈 선택(중),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(반찬, 계란찜 빼주세요（메인 더 넣어드려요）),추가선택(콩나물 300g 추가),찜（하트） 별5개 후기 서비스 선택([서비스]새우3마리))",오랜만에 아구찜 먹는데 맛있네요 잘먹었습니다,5,5,5,5.0,2023-05-21 14:22:59,1,0,538678
po**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(소),맛 선택(약간 매운맛（푸라면 맵기）),요청사항 추가 선택 1(반찬, 계란찜 빼주세요（메인 더 넣어드려요）))",맛있게 먹었습니다ㅎㅎ,5,5,5,5.0,2023-05-20 22:58:43,1,0,538678
le**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),찜（하트） 별5개 후기 서비스 선택([서비스]콩나물200g)),공기밥 2개/1",배달빠르고맛있습니당~,5,5,5,5.0,2023-05-20 20:00:33,1,0,538678
ps**,"[통오징어증정]칼슘 꽃게찜/1(사이즈 선택(소),맛 선택(약간 매운맛（푸라면 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),음료 추가선택(칠성사이다 1.25L),찜（하트） 별5개 후기 서비스 선택([서비스]오징어링))",양이 엄청 많아요! 맛있게 잘먹었습니다 ㅠㅠ,5,5,5,5.0,2023-05-19 18:30:46,1,0,538678
to**,"[통오징어증정]콜라겐 아귀찜（뼈있음）/1(사이즈 선택(소),맛 선택(약간 매운맛（푸라면 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),추가선택(공기밥 추가),찜（하트） 별5개 후기 서비스 선택([서비스]콩나물200g))",아귀찜 너무 맛있어요!!,5,5,5,5.0,2023-05-19 15:53:45,1,0,538678
v7**,"[통오징어증정]콜라겐 아귀찜（뼈있음）/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),추가선택(공기밥 추가),찜（하트） 별5개 후기 서비스 선택([서비스]알（명란）))",오징어가 맛있어요.,5,5,5,5.0,2023-05-19 08:47:44,1,0,538678
v7**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(1인분 [미니계란찜 서비스]),맛 선택(보통맛（일반 찜 맵기）),추가선택(공기밥 추가),찜（하트） 별5개 후기 서비스 선택([서비스]곤이（이리）))",잘먹었습니다.,5,5,5,5.0,2023-05-19 01:17:15,1,0,538678
vv**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(1인분 [미니계란찜 서비스]),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),찜（하트） 별5개 후기 서비스 선택([서비스]오징어링))",양도 많고 맛있었습니다~~,5,5,5,5.0,2023-05-18 20:29:40,1,0,538678
su**,"[통오징어증정]키토산 새우찜/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),찜（하트） 별5개 후기 서비스 선택([서비스]알（명란）))",맛도좋고 양도 많음,5,5,5,5.0,2023-05-18 12:09:36,1,0,538678
nj**,"[통오징어증정]해물&아귀 순살섞어찜（뼈없음）/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),찜（하트） 별5개 후기 서비스 선택([서비스]사이다 500ml))","풍성한 구성과 찐 해물맛이 인상 깊었어요
맛있네요",5,5,5,5.0,2023-05-18 03:01:28,1,0,538678
na**,"[통오징어증정]비주얼갑 통문어 해물찜/1(사이즈 선택(중),맛 선택(더 매운맛 （불닭발 정도）),찜（하트） 별5개 후기 서비스 선택([서비스]알（명란）))",적당히 매콤하고 맛있어요~~,5,5,5,5.0,2023-05-18 00:01:40,1,0,538678
gi**,"[통오징어증정]알마니~ 순알찜/1(사이즈 선택(중),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(반찬, 계란찜 빼주세요（메인 더 넣어드려요）),찜（하트） 별5개 후기 서비스 선택([서비스]알（명란）))",처음 시켜봤는데 다른 곳보다 간이 맵지 않고 적당해서 좋은 것 같아요!,5,5,5,5.0,2023-05-17 12:19:28,1,0,538678
wl**,"[통오징어증정]콜라겐 아귀찜（뼈있음）/1(사이즈 선택(소),맛 선택(약간 매운맛（푸라면 맵기）),추가선택(참소라 5마리 （조리시 슬라이스） 추가),추가선택(공기밥 추가),추가선택(백김치 2개),찜（하트） 별5개 후기 서비스 선택([서비스]알（명란）))",양보세요......엄청나요 갑자기 먹고파서 시켰는데 너무 맛나게 배불리먹었오요!사장님 부~~~~~자되세요!!!,5,5,5,5.0,2023-05-16 00:19:56,1,0,538678
dl**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(소),맛 선택(보통맛（일반 찜 맵기）),요청사항 추가 선택 1(곤이 빼주세요（메인 더 넣어드려요）),찜（하트） 별5개 후기 서비스 선택([서비스]오징어링))",양도많고 너무너무 맛있어요! 해물찜시킬때마다 여기서 시키는 중!,5,5,5,5.0,2023-05-15 12:53:11,1,0,538678
fa**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(1인분 [미니계란찜 서비스]),맛 선택(보통맛（일반 찜 맵기）))",맛있네용 좋아요!!!,5,5,5,5.0,2023-05-15 12:52:49,1,0,538678
ex**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(1인분 [미니계란찜 서비스]),맛 선택(더 매운맛 （불닭발 정도）))","아구살도 많고 비린거 못먹는 저도 정말 맛있게 먹었어요!!
소스도 맛있고 사장님 최고에용!!",5,5,5,5.0,2023-05-15 08:04:23,1,0,538678
yh**,"[통오징어증정]순살 아귀찜（살로만）/1(사이즈 선택(중),맛 선택(더 매운맛 （불닭발 정도）)),콩나물/1,공기밥 3개/1",너무 맛있게 먹었습니다!! 양도 많아요,5,5,5,5.0,2023-05-15 00:36:23,1,0,538678
