UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,HasPicture,BiasFree,RestaurantID
ki**,"순살닭볶음탕/1(사이즈 선택(小),맛 선택(0.5단계（신라면 아래）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),공기밥 ／ 사리 추가(공기계란찜 추가))",내 취향저격인곳 굿👍🏻 배고파서 먹다 찍었지만 역시 맛있었어용~,5,5,5,5,2023-05-23 02:08:18,1,0,321866
zl**,"순살닭볶음탕/1(사이즈 선택(小),맛 선택(0.5단계（신라면 아래）),서비스 선택(（싱글）공기밥 1개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(국물많이),공기밥 ／ 사리 추가(고구마튀김 4개 추가))",사장님 진짜 맛있습니다!,5,5,5,5,2023-05-22 18:16:39,0,1,321866
gi**,"안동찜닭/1(사이즈 선택(반마리),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（반마리）공기밥 1개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(수저,포크（빼주세요）),안 받을래요 빼주세요(국물많이),공기밥 ／ 사리 추가(공기밥 추가))",양도 넉넉. 맛있어요,5,5,5,5,2023-05-22 17:21:42,1,0,321866
ju**,"안동찜닭/1(사이즈 선택(반마리),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（반마리）공기밥 1개))",맛있어요 잘먹었습니다~!,5,5,5,5,2023-05-22 16:50:12,1,0,321866
ri**,"안동찜닭/1(사이즈 선택(한마리),맛 선택(1단계（땡초 들어있어요）),서비스 선택(（한마리,한마리반）공기밥 2개),안 받을래요 빼주세요(국물많이))",맛있었습니당 잘먹었어용,5,5,5,5,2023-05-22 16:38:54,0,1,321866
s_**,"순살닭볶음탕/1(사이즈 선택(小),맛 선택(0.5단계（신라면 아래）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(국물많이),안 받을래요 빼주세요(눈꽃치즈（빼주세요）))",요기요를 삭제할 수 없는 이유..,5,5,5,5,2023-05-22 16:31:41,0,1,321866
oi**,"순살안동찜닭/1(사이즈 선택(싱글),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（싱글）공기밥 1개),안 받을래요 빼주세요(국물많이),당면 ／ 묵은지 추가(묵은지 추가)),치즈닭갈비/1(사이즈 선택(小),맛 선택(1단계（매운맛）),서비스 선택(쿨피스 450ml))","여기 기본에 계란찜있는데 서비스에 주먹밥이랑 계란찜 적어놨더니 전화와서 하나만 고르라길래 계란찜햇더니 
기본에 계란찜나온다고 말해주시지;",3,3,3,4,2023-05-21 23:13:00,0,1,321866
cb**,"돼지갈비찜/1(사이즈 선택(小),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(쿨피스 450ml),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(눈꽃치즈（빼주세요）),공기밥 ／ 사리 추가(고구마 추가))",깻잎향 좋음 살코기파라 기름부위 적어서 좋았음,5,5,5,5,2023-05-21 21:56:42,1,0,321866
mi**,"국물닭발/1(메뉴 선택(통뼈),맛 선택(1단계: 신라면보다 조금 위),서비스 선택(공기밥 1개))",신랑이 먹고싶다고 해 주문했는데 맛있대요,5,5,5,5,2023-05-21 18:42:46,1,0,321866
dm**,"순살닭볶음탕/1(사이즈 선택(中),맛 선택(1단계（신라면보다 조금 더）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(수저,포크（빼주세요）),안 받을래요 빼주세요(국물많이))","너무 맛있었어요. 이런 맛집을 이제야 발견하다니, 앞으로 자주 시켜먹을게요",5,5,5,5,2023-05-21 17:39:20,1,0,321866
ji**,"치즈닭갈비/1(사이즈 선택(小),맛 선택(1단계（매운맛）),서비스 선택(（싱글）공기밥 1개))",집에있는채소 곁들였더니 더맛나여,5,5,5,5,2023-05-21 16:59:49,1,0,321866
da**,"안동찜닭/1(사이즈 선택(반마리),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(코카콜라 500mL),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）))",👍👍👍👍👍,5,5,5,5,2023-05-21 16:03:03,1,0,321866
js**,"안동찜닭/1(사이즈 선택(한마리),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（한마리,한마리반）공기밥 2개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(수저,포크（빼주세요）),안 받을래요 빼주세요(국물많이),안 받을래요 빼주세요(계란찜 小（빼주세요）))",너무 맛있어서 아기도 같이 잘 먹었습니다~~! 감사합니다~~,5,5,5,5,2023-05-21 15:48:01,1,0,321866
op**,"순살안동찜닭/1(사이즈 선택(小),맛 선택(1단계（땡초 들어있어요）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(국물많이))","순살찜닭 맛있어요~~!
리뷰이벤트 계란찜 신청했는데 당면으로 대체해서 왔더라구요 국물도 넉넉하고 맛있게 잘 먹었습니다 :)",5,5,5,5,2023-05-21 13:59:21,1,0,321866
ze**,"순살닭볶음탕/1(사이즈 선택(싱글),맛 선택(2단계（청양고추）),서비스 선택(（싱글）공기밥 1개),안 받을래요 빼주세요(국물많이),공기밥 ／ 사리 추가(비엔나 10개 추가))",항상 너무 잘 먹습니다!!,5,5,5,5,2023-05-21 11:21:45,1,0,321866
tr**,"매운돼지갈비찜/1(사이즈 선택(小),맛 선택(2단계（청양고추）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(국물많이))",맛있어요 배달도 빨랐구요 찜닭집이라 그런가 특유의 깻잎닭볶음탕맛 국물이라 신박하고 좋았어요 고기 질감은 살짝 아쉬웠습니다ㅠ,5,5,5,5,2023-05-21 00:09:21,1,0,321866
ey**,"순살안동찜닭/1(사이즈 선택(小),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(국물많이))",찜닭도 너무 맛있네요,5,5,5,5,2023-05-20 22:37:15,1,0,321866
pc**,"돼지갈비찜/1(사이즈 선택(小),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(쿨피스 450ml),안 받을래요 빼주세요(국물많이))",맛잇ㄱ 잘먹엇어요 감사합니다,5,5,5,5,2023-05-20 19:50:23,0,1,321866
jh**,"안동찜닭/1(사이즈 선택(한마리),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(스프라이트 500mL),안 받을래요 빼주세요(국물많이))","배달이 진심 늦습니다.
그냥 토요일이고 맛집이고 해서 늦는것은  아는데 ㅜ.ㅜ좀 마니 늦어요~^^",4,4,4,1,2023-05-20 19:45:41,0,1,321866
tj**,"순살안동찜닭/1(사이즈 선택(中),맛 선택(1단계（땡초 들어있어요）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(국물많이))",맛있게 잘먹었어요,5,5,5,5,2023-05-20 19:36:56,1,0,321866
go**,"순살안동찜닭/1(사이즈 선택(싱글),맛 선택(2단계（많이매운맛）),서비스 선택(（싱글）공기밥 1개),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(수저,포크（빼주세요）),안 받을래요 빼주세요(국물많이),안 받을래요 빼주세요(눈꽃치즈（빼주세요）),공기밥 ／ 사리 추가(고구마 추가),공기밥 ／ 사리 추가(감자 추가),공기밥 ／ 사리 추가(계란 2개 추가))",맛있어요~^^양도적당하고 좋아요~감사합니다~^^,5,5,5,5,2023-05-20 18:16:45,1,0,321866
rk**,"닭볶음탕/1(사이즈 선택(반마리),맛 선택(0.5단계（신라면 이하）),서비스 선택(（반마리）공기밥 1개),안 받을래요 빼주세요(국물많이),음료수 추가(쿨피스（450ml）))",너무 맛있어요 또 시켜먹을게요,5,5,5,5,2023-05-20 17:16:41,0,1,321866
yi**,"매운돼지갈비찜/1(사이즈 선택(小),맛 선택(1단계（신라면보다 조금 더）),서비스 선택(（小,中,大）공기밥 2개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(수저,포크（빼주세요）),안 받을래요 빼주세요(국물많이))","완전 맛있어요~~
다음에 또 시켜먹을게요!",5,5,5,5,2023-05-19 23:58:26,1,0,321866
wo**,"순살닭볶음탕/1(사이즈 선택(싱글),맛 선택(0.5단계（신라면 아래）),서비스 선택(（싱글）공기밥 1개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(수저,포크（빼주세요）),안 받을래요 빼주세요(국물많이))",순살닭도리탕 대존맛,5,5,5,5,2023-05-19 22:16:31,0,1,321866
ji**,"순살안동찜닭/1(사이즈 선택(小),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（싱글）공기밥 1개))",존맛이에요 얼른 시켜드십쇼...,5,5,5,5,2023-05-19 14:51:41,1,0,321866
ta**,"순살닭볶음탕/1(사이즈 선택(小),맛 선택(0.5단계（신라면 아래）),서비스 선택(쿨피스 450ml),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),안 받을래요 빼주세요(국물많이),공기밥 ／ 사리 추가(라면사리 추가),음료수 추가(쿨피스 930ml 추가),음료수 추가(스프라이트 500ml 추가),음료수 추가(스프라이트 1.5L 추가)),공기밥/1",간만에 배터지게 잘먹었어요 ㅎㅎ,5,5,5,5,2023-05-19 13:04:42,1,0,321866
sa**,"닭볶음탕/1(사이즈 선택(반마리),맛 선택(1단계（신라면보다 조금）),서비스 선택(（반마리）공기밥 1개),안 받을래요 빼주세요(오이지（빼주세요）),안 받을래요 빼주세요(깍두기（빼주세요）),공기밥 ／ 사리 추가(고구마튀김 4개 추가))",배부르고 맛있게 잘먹었습니다. 감사합니다!,5,5,5,5,2023-05-18 13:32:24,1,0,321866
hy**,"안동찜닭/1(사이즈 선택(반마리),맛 선택(0.5단계（땡초 안들어가요）),서비스 선택(（반마리）공기밥 1개))",리뷰보고 처음 주문해봤는데 진짜 개맛있어요....전메뉴 다 맛있을것같아서 담에는 한번씩 다 먹어보려구요 맛있게 잘 먹었습니다!!,5,5,5,5,2023-05-17 23:00:06,1,0,321866
tm**,"순살안동찜닭/1(사이즈 선택(싱글),맛 선택(1단계（땡초 들어있어요）),서비스 선택(쿨피스 450ml))",잘 먹었습니다  ~~~~~,5,5,5,5,2023-05-17 16:53:56,0,1,321866
pa**,"치즈닭갈비/1(사이즈 선택(中),맛 선택(1단계（매운맛）),서비스 선택(（싱글）공기밥 1개),안 받을래요 빼주세요(수저,포크（빼주세요）))",맛있게 잘 먹었습니다,5,5,5,5,2023-05-17 16:46:41,1,0,321866
